#Bank identifier|BIC|Bank
0500|DNBANOKK|DNB Bank ASA
0519-0522|DNBANOKK|DNB Bank ASA
0525|DNBANOKK|DNB Bank ASA
0529-0540|DNBANOKK|DNB Bank ASA
0542-0547|DNBANOKK|DNB Bank ASA
0570-0571|DNBANOKK|DNB Bank ASA
0573-0574|DNBANOKK|DNB Bank ASA
0576-0579|DNBANOKK|DNB Bank ASA
0582|DNBANOKK|DNB Bank ASA
1000|DNBANOKK|DNB Bank ASA
1010|DNBANOKK|DNB Bank ASA
1014|DNBANOKK|DNB Bank ASA
1020|EIDSNO21|Eidsberg Sparebank
1029|EIDSNO21|Eidsberg Sparebank
1030|RYGSNO21|Sparebank1 Østfold Akershus
1040|DNBANOKK|DNB Bank ASA
1050-1051|MASPNO21|Marker Sparebank
1061|DNBANOKK|DNB Bank ASA
1064|DNBANOKK|DNB Bank ASA
1070|DNBANOKK|DNB Bank ASA
1080-1083|RYGSNO21|Sparebank1 Østfold Akershus
1085|RYGSNO21|Sparebank1 Østfold Akershus
1090|DNBANOKK|DNB Bank ASA
1097|DNBANOKK|DNB Bank ASA
1100-1101|ASKSNO21|Askim og Spydeberg Sparebank
1105|BRGPNO21|Berg Sparebank
1111|DNBANOKK|DNB Bank ASA
1121|DNBANOKK|DNB Bank ASA
1135|ASKSNO21|Askim og Spydeberg Sparebank
1139|ASKSNO21|Askim og Spydeberg Sparebank
1140|TRSPNO21|Trøgstad Sparebank
1145|DNBANOKK|DNB Bank ASA
1150|DNBANOKK|DNB Bank ASA
1160|DNBANOKK|DNB Bank ASA
1200-1204|DNBANOKK|DNB Bank ASA
1206-1208|DNBANOKK|DNB Bank ASA
1210-1214|DNBANOKK|DNB Bank ASA
1221|DNBANOKK|DNB Bank ASA
1224-1231|DNBANOKK|DNB Bank ASA
1240|DNBANOKK|DNB Bank ASA
1250-1251|DNBANOKK|DNB Bank ASA
1254|CULTNOK1|Cultura Sparebank
1260-1262|DNBANOKK|DNB Bank ASA
1269|LISTNO21|Romerike Sparebank
1271|AUSNNO21|Aurskog Sparebank
1275|DNBANOKK|DNB Bank ASA
1280|HOLLNO21|Høland og Setskog Sparebank
1286|LISTNO21|Romerike Sparebank
1295|DNBANOKK|DNB Bank ASA
1310|STMMNO21|Strømmen Sparebank
1315|DNBANOKK|DNB Bank ASA
1321|LISTNO21|Romerike Sparebank
1335|DNBANOKK|DNB Bank ASA
1338|HOLLNO21|Høland og Setskog Sparebank
1430|SWEDNOKK|Swedbank Norge
1431|SWEDNOKK|Swedbank Oslo
1440|JERNNO21|Jernbanepersonalets sparebank
1450|TELENO21|Oslofjord Sparebank
1500-1509|DNBANOKK|DNB Bank ASA
1514-1521|DNBANOKK|DNB Bank ASA
1528|DNBANOKK|DNB Bank ASA
1532|DNBANOKK|DNB Bank ASA
1537|DNBANOKK|DNB Bank ASA
1542|DNBANOKK|DNB Bank ASA
1550-1552|DNBANOKK|DNB Bank ASA
1554|DNBANOKK|DNB Bank ASA
1559-1560|DNBANOKK|DNB Bank ASA
1563-1568|DNBANOKK|DNB Bank ASA
1578|DNBANOKK|DNB Bank ASA
1580|DNBANOKK|DNB Bank ASA
1582|DNBANOKK|DNB Bank ASA
1586-1588|DNBANOKK|DNB Bank ASA
1590-1591|DNBANOKK|DNB Bank ASA
1593-1595|DNBANOKK|DNB Bank ASA
1600-1607|DNBANOKK|DNB Bank ASA
1609|DNBANOKK|DNB Bank ASA
1612-1615|DNBANOKK|DNB Bank ASA
1617|DNBANOKK|DNB Bank ASA
1619-1624|DNBANOKK|DNB Bank ASA
1626-1629|DNBANOKK|DNB Bank ASA
1632-1633|DNBANOKK|DNB Bank ASA
1636-1638|DNBANOKK|DNB Bank ASA
1640-1641|DNBANOKK|DNB Bank ASA
1643-1645|DNBANOKK|DNB Bank ASA
1654|DNBANOKK|DNB Bank ASA
1660|DNBANOKK|DNB Bank ASA
1674|DNBANOKK|DNB Bank ASA
1683-1684|DNBANOKK|DNB Bank ASA
1697-1698|DNBANOKK|DNB Bank ASA
1700|DNBANOKK|DNB Bank ASA
1720|BIENNOK1|Bien Sparebank ASA
1730|DNBANOKK|DNB Bank ASA
1800-1803|SHEDNO22|SpareBank 1 Østlandet
1810|SHEDNO22|SpareBank 1 Østlandet
1813|SHEDNO22|SpareBank 1 Østlandet
1815|SHEDNO22|SpareBank 1 Østlandet
1817|SHEDNO22|SpareBank 1 Østlandet
1819-1820|SHEDNO22|SpareBank 1 Østlandet
1822|SHEDNO22|SpareBank 1 Østlandet
1829|SHEDNO22|SpareBank 1 Østlandet
1830|GRUENO21|Grue Sparebank
1840|SHEDNO22|SpareBank 1 Østlandet
1850|SHEDNO22|SpareBank 1 Østlandet
1865|SHEDNO22|SpareBank 1 Østlandet
1868|SHEDNO22|SpareBank 1 Østlandet
1870-1871|ODASNO21|Odal Sparebank
1875|DNBANOKK|DNB Bank ASA
1885-1886|TOSPNO21|Tolga-Os Sparebank
1890|SHEDNO22|SpareBank 1 Østlandet
1895|SHEDNO22|SpareBank 1 Østlandet
1904|SHEDNO22|SpareBank 1 Østlandet
1913|SHEDNO22|SpareBank 1 Østlandet
1917|SHEDNO22|SpareBank 1 Østlandet
2000|DNBANOKK|DNB Bank ASA
2002-2003|DNBANOKK|DNB Bank ASA
2005|DNBANOKK|DNB Bank ASA
2010|DNBANOKK|DNB Bank ASA
2020|RIRINO21|Sparebank 1 Ringerike Hadeland
2030|RIRINO21|Sparebank 1 Ringerike Hadeland
2050-2051|TOTENO21|Totens Sparebank
2065|DNBANOKK|DNB Bank ASA
2070|DNBANOKK|DNB Bank ASA
2073|DNBANOKK|DNB Bank ASA
2075|DNBANOKK|DNB Bank ASA
2081|DNBANOKK|DNB Bank ASA
2085|LOSKNO21|Sparebank 1 Lom og Sjåk
2090|DNBANOKK|DNB Bank ASA
2095|SGFSNO21|Sparebank 1 Gudbrandsdal
2100|DNBANOKK|DNB Bank ASA
2105|DNBANOKK|DNB Bank ASA
2120|DNBANOKK|DNB Bank ASA
2125|SGFSNO21|Sparebank 1 Gudbrandsdal
2135|HAALNO21|Sparebank 1 Hallingdal Valdres
2140|ETSPNO21|Etnedal Sparebank
2146|VESLNO21|Valdres Sparebank
2153-2154|VESLNO21|Valdres Sparebank
2200-2201|DNBANOKK|DNB Bank ASA
2207|DNBANOKK|DNB Bank ASA
2212|DNBANOKK|DNB Bank ASA
2220-2223|SAOENO22|Sparebanken Øst
2230|NEPRNO21|Skue Sparebank
2240-2241|DNBANOKK|DNB Bank ASA
2245|DNBANOKK|DNB Bank ASA
2250|DNBANOKK|DNB Bank ASA
2260-2261|DNBANOKK|DNB Bank ASA
2270|VEFONO21|SpareBank 1 Sørøst-Norge
2280-2281|RIRINO21|Sparebank 1 Ringerike Hadeland
2291|VEFONO21|SpareBank 1 Sørøst-Norge
2300|DNBANOKK|DNB Bank ASA
2310|SAOENO22|Sparebanken Øst
2318-2319|SAOENO22|Sparebanken Øst
2320|HAALNO21|Sparebank 1 Hallingdal Valdres
2322|HAALNO21|Sparebank 1 Hallingdal Valdres
2324-2325|HAALNO21|Sparebank 1 Hallingdal Valdres
2329|HAALNO21|Sparebank 1 Hallingdal Valdres
2333|NEPRNO21|Skue Sparebank
2335|DNBANOKK|DNB Bank ASA
2345-2346|SAOENO22|Sparebanken Øst
2351-2352|NEPRNO21|Skue Sparebank
2356|DNBANOKK|DNB Bank ASA
2361|DNBANOKK|DNB Bank ASA
2364|DNBANOKK|DNB Bank ASA
2367|HAALNO21|Sparebank 1 Hallingdal Valdres
2372|DNBANOKK|DNB Bank ASA
2375|DNBANOKK|DNB Bank ASA
2378|DNBANOKK|DNB Bank ASA
2400-2401|DNBANOKK|DNB Bank ASA
2410|DNBANOKK|DNB Bank ASA
2420|DNBANOKK|DNB Bank ASA
2440|DNBANOKK|DNB Bank ASA
2442|DNBANOKK|DNB Bank ASA
2448|DNBANOKK|DNB Bank ASA
2450|DNBANOKK|DNB Bank ASA
2460|DNBANOKK|DNB Bank ASA
2467|DNBANOKK|DNB Bank ASA
2470|VEFONO21|SpareBank 1 Sørøst-Norge
2475|VEFONO21|SpareBank 1 Sørøst-Norge
2480-2481|VEFONO21|SpareBank 1 Sørøst-Norge
2489|VEFONO21|SpareBank 1 Sørøst-Norge
2490|DNBANOKK|DNB Bank ASA
2500|ANBUNO21|Andebu Sparebank
2503|ANBUNO21|Andebu Sparebank
2505|VEFONO21|SpareBank 1 Sørøst-Norge
2510|LABRNOB1|Larvikbanken - din sparebank
2515|DNBANOKK|DNB Bank ASA
2520|DNBANOKK|DNB Bank ASA
2525|DNBANOKK|DNB Bank ASA
2530|DNBANOKK|DNB Bank ASA
2535|DNBANOKK|DNB Bank ASA
